"","index","p","d","q","P","D","Q","AIC","BIC"
"759","759","2","1","3","2","1","2",171.097502910853,212.300477100363
"752","752","2","1","3","1","1","3",171.30097043293,212.50394462244
"247","247","0","1","3","2","1","2",171.674788887216,204.637168238823
"240","240","0","1","3","1","1","3",171.806389709432,204.768769061039
"439","439","1","1","1","2","1","2",172.70829775951,201.550379692167
"688","688","2","1","1","1","1","3",172.730335173756,205.692714525363
"432","432","1","1","1","1","1","3",172.747451301091,201.589533233748
"471","471","1","1","2","2","1","2",173.321529808176,206.283909159784
"464","464","1","1","2","1","1","3",173.390452547162,206.35283189877
"183","183","0","1","1","2","1","2",173.500944235993,198.222728749698
"176","176","0","1","1","1","1","3",173.577441441685,198.29922595539
"951","951","3","1","1","2","1","2",173.64468039412,210.727357164679
"944","944","3","1","1","1","1","3",173.774620446107,210.857297216666
"727","727","2","1","2","2","1","2",173.876143742504,210.958820513063
"720","720","2","1","2","1","1","3",174.001387403983,211.084064174542
"215","215","0","1","2","2","1","2",174.032292941309,202.874374873965
"208","208","0","1","2","1","1","3",174.072764525359,202.914846458016
"1008","1008","3","1","3","1","1","3",174.972288099992,220.295559708452
"919","919","3","1","0","2","1","2",175.308332608748,208.270711960356
"256","256","0","1","3","3","1","3",175.359575978788,216.562550168297
"912","912","3","1","0","1","1","3",175.458819611968,208.421198963576
"976","976","3","1","2","1","1","3",175.813014411868,217.015988601378
"230","230","0","1","3","0","1","1",176.864530982608,197.466018077362
"192","192","0","1","1","3","1","3",177.247792171196,210.210171522803
"678","678","2","1","1","0","1","1",177.827769649008,198.429256743762
"1024","1024","3","1","3","3","1","3",177.856016270528,231.41988271689
"232","232","0","1","3","0","1","3",177.96009978992,206.802181722577
"422","422","1","1","1","0","1","1",178.067184915337,194.548374591141
"246","246","0","1","3","2","1","1",178.071960130154,206.914042062811
"166","166","0","1","1","0","1","1",178.155721279123,190.516613535976
"231","231","0","1","3","0","1","2",178.235858225764,202.95764273947
"238","238","0","1","3","1","1","1",178.334756592632,203.056541106337
"751","751","2","1","3","1","1","2",178.360659542863,215.443336313422
"680","680","2","1","1","0","1","3",178.803917476122,207.645999408778
"934","934","3","1","1","0","1","1",178.819359344029,203.541143857735
"486","486","1","1","3","0","1","1",178.837381014661,203.559165528367
"694","694","2","1","1","2","1","1",178.937311011076,207.779392943732
"424","424","1","1","1","0","1","3",179.030621876287,203.752406389993
"710","710","2","1","2","0","1","1",179.076775702387,203.798560216093
"663","663","2","1","0","2","1","2",179.07755983681,207.919641769467
"198","198","0","1","2","0","1","1",179.092379636898,195.573569312701
"656","656","2","1","0","1","1","3",179.178700289674,208.02078222233
"438","438","1","1","1","2","1","1",179.204346765004,203.92613127871
"679","679","2","1","1","0","1","2",179.355727657166,204.077512170872
"239","239","0","1","3","1","1","2",179.409976356302,208.252058288959
"686","686","2","1","1","1","1","1",179.433461541091,204.155246054796
"168","168","0","1","1","0","1","3",179.563513331256,200.165000426011
"470","470","1","1","2","2","1","1",179.695008917079,208.537090849735
"423","423","1","1","1","0","1","2",179.699534548663,200.301021643417
"182","182","0","1","1","2","1","1",179.722439815293,200.323926910047
"430","430","1","1","1","1","1","1",179.761223894968,200.362710989722
"248","248","0","1","3","2","1","3",179.789171165821,216.87184793638
"982","982","3","1","2","2","1","1",179.84273034886,216.925407119418
"936","936","3","1","1","0","1","3",179.859149679716,212.821529031324
"254","254","0","1","3","3","1","1",179.879189675916,212.841569027524
"167","167","0","1","1","0","1","2",179.880751421018,196.361941096822
"488","488","1","1","3","0","1","3",179.903207292307,212.865586643914
"174","174","0","1","1","1","1","1",179.923503734427,196.404693410231
"950","950","3","1","1","2","1","1",179.967065545429,212.929444897037
"712","712","2","1","2","0","1","3",180.086231882043,213.048611233651
"454","454","1","1","2","0","1","1",180.114405088902,200.715892183657
"407","407","1","1","0","2","1","2",180.171318968309,204.893103482015
"935","935","3","1","1","0","1","2",180.19544982521,209.037531757867
"726","726","2","1","2","2","1","1",180.201867478028,213.164246829636
"487","487","1","1","3","0","1","2",180.221599386668,209.063681319325
"462","462","1","1","2","1","1","1",180.268631095885,204.990415609591
"200","200","0","1","2","0","1","3",180.272354004972,204.994138518678
"942","942","3","1","1","1","1","1",180.294665320593,209.136747253249
"902","902","3","1","0","0","1","1",180.29775410966,200.899241204414
"494","494","1","1","3","1","1","1",180.319702557294,209.16178448995
"400","400","1","1","0","1","1","3",180.374632661482,205.096417175188
"214","214","0","1","2","2","1","1",180.448302209427,205.170086723132
"711","711","2","1","2","0","1","2",180.47968107711,209.321763009766
"687","687","2","1","1","1","1","2",180.517929806671,209.360011739328
"718","718","2","1","2","1","1","1",180.575689734079,209.417771666736
"696","696","2","1","1","2","1","3",180.576483837551,217.659160608109
"440","440","1","1","1","2","1","3",180.639512874058,213.601892225666
"431","431","1","1","1","1","1","2",180.777687090985,205.49947160469
"199","199","0","1","2","0","1","2",180.802415842316,201.40390293707
"742","742","2","1","3","0","1","1",180.806106751198,209.648188683854
"966","966","3","1","2","0","1","1",180.827264749929,209.669346682586
"206","206","0","1","2","1","1","1",180.849480334025,201.45096742878
"983","983","3","1","2","2","1","2",181.000168006632,222.203142196142
"998","998","3","1","3","0","1","1",181.116121488837,214.078500840444
"175","175","0","1","1","1","1","2",181.18304016781,201.784527262565
"184","184","0","1","1","2","1","3",181.247700429708,210.089782362365
"472","472","1","1","2","2","1","3",181.249470114662,218.33214688522
"463","463","1","1","2","1","1","2",181.312696953238,210.154778885894
"943","943","3","1","1","1","1","2",181.369630495081,214.332009846689
"495","495","1","1","3","1","1","2",181.396778903469,214.359158255076
"478","478","1","1","2","3","1","1",181.551154425834,214.513533777442
"190","190","0","1","1","3","1","1",181.554237302966,206.276021816672
"456","456","1","1","2","0","1","3",181.633200336894,210.47528226955
"719","719","2","1","2","1","1","2",181.642511622856,214.604890974464
"952","952","3","1","1","2","1","3",181.67146364592,222.87443783543
"904","904","3","1","0","0","1","3",181.713921759127,210.556003691784
"903","903","3","1","0","0","1","2",181.71978079877,206.441565312476
"455","455","1","1","2","0","1","2",181.732207797323,206.453992311029
"958","958","3","1","1","3","1","1",181.752892765094,218.835569535653
"910","910","3","1","0","1","1","1",181.804963628492,206.526748142197
